County,"Incorporated City 
or Town","Incorpora-
tion Date (1)","June 1,
1850","June 1,
1860","June 1, 
1870","June 1,
1880","Jun 1, 1890","June 1,
1900","April 15,
1910","Jan. 1,
1920","April 1,
1930","April 1,
1940","April 1,
1950","April 1,
1960","April 1,
1970","April 1,
1980","April 1,
1990","Apr 1, 2000","April 1,
2010",GeoID,sumlvl,county FIPS,Place ID
Contra Costa,,1850,,"5,328","8,461","12,525","13,515","18,046","31,674","53,889","78,608","100,450","298,984","409,030","556,116","656,331","803,732","948,816","1,049,025",5006013,50,6013,
Contra Costa,Antioch,1872,,,,626,635,674,"1,124","1,936","3,563","5,106","11,051","17,305","28,060","42,683","62,195","90,532","102,372",1550601302252,155,6013,2252
Contra Costa,Brentwood,1948,,,,,,,,,,,"1,729","2,186","2,649","4,434","7,563","23,302","51,481",1550601308142,155,6013,8142
Contra Costa,Clayton,1964,,,,,,,,,,,,,"1,385","4,325","7,317","10,762","10,897",1550601313882,155,6013,13882
Contra Costa,Concord,1905,,,,,,,703,912,"1,125","1,373","6,953","36,208","85,164","103,763","111,348","121,780","122,067",1550601316000,155,6013,16000
Contra Costa,Danville,1982,,,,,,,,,,,,,,"26,446","31,306","41,715","42,039",1550601317988,155,6013,17988
Contra Costa,El Cerrito,1917,,,,,,,,"1,505","3,870","6,137","18,011","25,437","25,190","22,731","22,869","23,171","23,549",1550601321796,155,6013,21796
Contra Costa,Hercules,1900,,,,,,,279,373,392,343,343,310,252,"5,963","16,829","19,488","24,060",1550601333308,155,6013,33308
Contra Costa,Lafayette,1968,,,,,,,,,,,,,"20,484","20,837","23,501","23,908","23,893",1550601339122,155,6013,39122
Contra Costa,Martinez,1876,,,,n/a,"1,600","1,380","2,115","3,858","6,569","7,381","8,268","9,604","16,506","22,582","31,808","35,866","35,824",1550601346114,155,6013,46114
Contra Costa,Moraga,1974,,,,,,,,,,,,,,"15,014","15,852","16,290","16,016",1550601349187,155,6013,49187
Contra Costa,Oakley,1999,,,,,,,,,,,,,,,,"25,619","35,432",1550601353070,155,6013,53070
Contra Costa,Orinda,1985,,,,,,,,,,,,,,,"16,642","17,599","17,643",1550601354232,155,6013,54232
Contra Costa,Pinole,1903,,,,,,,798,967,781,934,"1,147","6,064","13,266","14,253","17,460","19,039","18,390",1550601357288,155,6013,57288
Contra Costa,Pittsburg,1903,,,,,,,"2,372","4,715","9,610","9,520","12,763","19,062","20,651","33,465","47,564","56,769","63,264",1550601357456,155,6013,57456
Contra Costa,Pleasant Hill,1961,,,,,,,,,,,,,"24,610","25,547","31,585","32,837","33,152",1550601357764,155,6013,57764
Contra Costa,Richmond,1905,,,,,,,"6,802","16,843","20,093","23,642","99,545","71,854","79,043","74,676","87,425","99,216","103,701",1550601360620,155,6013,60620
Contra Costa,San Pablo,1948,,,,,,,,,,,"14,476","19,687","21,461","19,750","25,158","30,215","29,139",1550601368294,155,6013,68294
Contra Costa,San Ramon,1983,,,,,,,,,,,,,,,"35,303","44,722","72,148",1550601368378,155,6013,68378
Contra Costa,Walnut Creek,1914,,,,,,,,538,"1,014","1,578","2,420","9,903","39,844","53,490","60,569","64,296","64,173",1550601383346,155,6013,83346
,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,,1857,,"1,993","2,022","2,584","2,592","2,408","2,417","2,759","4,739","4,745","8,078","17,771","14,580","18,217","23,460","27,507","28,610",5006015,50,6015,
Del Norte,Crescent City,1854,,638,458,n/a,907,699,"1,114",955,"1,720","1,363","1,706","2,958","2,586","3,075","4,380","7,347","7,643",1550601517022,155,6015,17022
,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,,1850,"20,057","20,562","10,309","10,683","9,232","8,986","7,492","6,426","8,325","13,229","16,207","29,390","43,833","85,812","125,995","156,299","181,058",5006017,50,6017,
El Dorado,Placerville,1854,,"2,466","1,562","1,951","1,690","1,748","1,914","1,650","2,322","3,064","3,749","4,439","5,416","6,739","8,355","9,610","10,389",1550601757540,155,6017,57540
El Dorado,South Lake Tahoe,1965,,,,,,,,,,,,,"12,921","20,681","21,586","23,609","21,403",1550601773108,155,6017,73108
,,,,,,,,,,,,,,,,,,,,,,,
Fresno,,1856,,"4,605","6,336","9,478","32,026","37,862","75,657","128,779","144,379","178,565","276,515","365,945","413,329","514,621","667,490","799,407","930,450",5006019,50,6019,
Fresno,Clovis,1912,,,,,,,,"1,157","1,316","1,626","2,766","5,546","13,856","33,021","50,323","68,468","95,631",1550601914218,155,6019,14218
Fresno,Coalinga,1906,,,,,,,"4,199","2,934","2,851","5,026","5,539","5,965","6,161","6,593","8,212","16,213","13,380",1550601914274,155,6019,14274
Fresno,Firebaugh,1914,,,,,,,,n/a,506,704,821,"2,070","2,517","3,740","4,429","5,743","7,549",1550601924134,155,6019,24134
Fresno,Fowler,1908,,,,,,,675,"1,528","1,171","1,531","1,857","1,892","2,239","2,496","3,208","3,979","5,570",1550601925436,155,6019,25436
Fresno,Fresno,1885,,,,,"10,818","12,470","24,892","45,086","52,513","60,685","91,669","133,929","165,655","217,129","354,202","427,652","494,665",1550601927000,155,6019,27000
Fresno,Huron,1951,,,,,,,,,,,,"1,269","1,525","2,768","4,766","6,306","6,754",1550601936084,155,6019,36084
Fresno,Kerman,1946,,,,,,,,,,,"1,563","1,970","2,667","4,002","5,448","8,551","13,544",1550601938226,155,6019,38226
Fresno,Kingsburg,1908,,,,,,,634,"1,316","1,322","1,504","2,310","3,093","3,843","5,115","7,205","9,199","11,382",1550601938562,155,6019,38562
Fresno,Mendota,1942,,,,,,,,,,,"1,516","2,099","2,705","5,038","6,821","7,890","11,014",1550601946828,155,6019,46828
Fresno,Orange Cove,1948,,,,,,,,,,,"2,395","2,885","3,392","4,026","5,604","7,722","9,078",1550601954008,155,6019,54008
Fresno,Parlier,1921,,,,,,,,,564,776,"1,419","1,366","1,993","2,902","7,938","11,145","14,494",1550601955856,155,6019,55856
Fresno,Reedley,1913,,,,,,,,"2,447","2,589","3,170","4,135","5,850","8,131","11,071","15,791","20,756","24,194",1550601960242,155,6019,60242
Fresno,San Joaquin,1920,,,,,,,,,163,240,632,879,"1,506","1,930","2,311","3,270","4,001",1550601967126,155,6019,67126
Fresno,Sanger,1911,,,,,,,,"2,578","2,967","4,017","6,400","8,072","10,088","12,542","16,839","18,931","24,270",1550601967056,155,6019,67056
Fresno,Selma,1893,,,,,,"1,083","1,750","3,158","3,047","3,667","5,964","6,934","7,459","10,942","14,757","19,444","23,219",1550601970882,155,6019,70882
,,,,,,,,,,,,,,,,,,,,,,,
Glenn,,1891,,,,,,"5,150","7,172","11,853","10,935","12,195","15,448","17,245","17,521","21,350","24,798","26,453","28,122",5006021,50,6021,
Glenn,Orland,1909,,,,,,,836,"1,582","1,195","1,366","2,067","2,534","2,884","4,031","5,052","6,281","7,291",1550602154274,155,6021,54274
Glenn,Willows,1886,,,,,"1,176",893,"1,139","2,190","2,024","2,215","3,019","4,139","4,085","4,777","5,988","6,220","6,166",1550602185684,155,6021,85684
,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,,1853,,"2,694","6,140","15,512","23,469","27,104","33,857","37,413","43,233","45,812","69,241","104,892","99,692","108,525","119,118","126,518","134,623",5006023,50,6023,
Humboldt,Arcata,1858,,n/a,n/a,702,962,952,"1,121","1,486","1,709","1,855","3,729","5,235","8,985","12,850","15,197","16,651","17,231",1550602302476,155,6023,2476
Humboldt,Blue Lake,1910,,,,,,,507,441,555,503,824,"1,234","1,112","1,201","1,235","1,135","1,253",1550602307162,155,6023,7162
